f_id,item,veg_or_non_veg
fd249,Mushroom Uttapam,Veg
fd250,Cheese Uttapam,Veg
fd251,Onion Uttapam,Veg
fd252,Special Family Dosa,Veg
fd253,Mushroom Masala Dosa,Veg
fd254,Paneer Dosa,Veg
fd255,Masala Dosa,Veg
fd256,Plain Dosa,Veg
fd257,Onion Butter Masala Dosa,Veg
fd258,Pizza Dosa,Veg
fd259,Pasta White Sauce,Veg
fd260,Pasta Red Sauce,Veg
fd261,Capsicum Pizza [medium 8 Inches],Veg
fd262,Cheese And Chilli Pizza [medium 8 Inches],Veg
fd263,Cheese Pizza [medium 8 Inches],Veg
fd264,Mushroom Pizza [medium 8 Inches],Veg
fd265,Onion Pizza [medium 8 Inches],Veg
fd266,Paneer Tikka Pizza [medium 8 Inches],Veg
fd267,Veg Pizza [medium 8 Inches],Veg
fd268,Pitthi Samosi,Veg
fd269,Samosa Mathi,Veg
fd270,Methi Mathi,Veg
fd271,Plain Mathi,Veg
fd272,Kaju Matar [190 Grams],Veg
fd273,Matri [190 Grams],Veg
fd274,Papri [500 Grams],Veg
fd275,Pudina Boondi [190 Grams],Veg
fd276,Plain Boondi [190 Grams],Veg
fd277,Fruit Cake,Veg
fd278,Cake [900 Grams],Veg
fd279,Fruit Cake (egg),Non-veg
fd280,Jam Roll Pastry,Veg
fd281,Chocolate Pastry,Veg
fd282,Black Forest Pastry,Veg
fd283,Swiss Roll Pastry,Veg
fd284,Milk Badam Pastry,Veg
fd285,Butterscotch Pastry,Veg
fd286,Jelly Pastry,Veg
fd287,Strwaberry Pastry,Veg
fd288,Vanila Pastry,Veg
fd289,Pineapple Pastry,Veg
fd290,Choco Lava Cake,Veg
fd291,Cream Roll,Veg
fd292,Cake Rusk,Non-veg
fd293,Atta Namkeen Biscuit [400 Grams],Veg
fd294,Atta Sweet Biscuit [400 Grams],Veg
fd295,French Heart,Veg
fd296,Fan,Veg
fd297,Suju Rusk,Veg
fd298,Atta Biscuit (desi Ghee),Veg
fd299,Butter Pista Finger,Veg
fd300,White Chocolate Donut,Veg
fd301,Chocolate Donut,Veg
fd302,Pistachio Rabri,Veg
fd303,Sabu Dana Lachha Mix,Veg
fd304,Badam Lachha,Veg
fd305,Potato Papad,Veg
fd306,Potato Chips,Veg
fd307,Manchow Soup,Veg
fd308,Tomato Cream Soup,Veg
fd309,Tomato Soup,Veg
fd310,Veg Sweet Corn Soup,Veg
fd311,Veg Soup,Veg
fd312,Cafe Latte Coffee,Veg
fd313,Cafe Mocha Coffee,Veg
fd314,Chocolate Shake,Veg
fd316,Walnut Brownie,Veg
fd317,Chocolaty Frappe,Veg
fd319,Cheese Garlic Bread,Veg
fd320,Exotic Garlic Bread,Veg
fd321,Paneer Wrap,Veg
fd322,Mexican Veg Wrap,Veg
fd323,Paneer Tikka Sub,Veg
fd324,8 ' Regular Farm House Pizza,Veg
fd325,10 ' Medium Farm House Pizza,Veg
fd326,13 'Large Farm House Pizza,Veg
fd327,American Cheese Burger,Veg
fd329,Veg Burger,Veg
fd330,Chicken Burger,Non-veg
fd331,8 ' Regular Spicy Paneer Pizza,Veg
fd332,13 ' Large Spicy Paneer Pizza,Veg
fd334,8 ' Regular Paneer Makhani Pizza,Veg
fd335,13 ' Large Paneer Makhani Pizza,Veg
fd336,Red Penne Alfredo Pasta,Veg
fd337,White Penne Alfredo Pasta,Veg
fd338,Mix Sauce Penne Alfredo Pasta,Veg
fd339,10 ' Medium Loaded Chicken Pizza,Non-veg
fd340,Paneer Tikka Salad,Veg
fd341,Chicken Delight Salad,Non-veg
fd342,8 ' Regular Chicken Tikka Pizza,Non-veg
fd343,13 ' Large Tandoori Chicken Pizza,Non-veg
fd344,2 Strawberry Shake + 2 Punjabi Paneer Cruncher (Without Onion + Garlic) + 1 Mint Mojito Mocktail,Veg
fd345,2 Butterscotch Shake + 2 Red Penne Mushroom Pata (Without Onion + Garlic) + 3 Veg Burger (Without Onion + Garlic),Veg
fd346,3 Piece 8' Regular Spicy Corn Tango Pizza (Without Onion + Garlic) + 3 Choclate Shakes,Veg
fd347,3 American Cheese Burger (Without Onion + Garlic) + 3 Tcd Special Shake,Veg
fd348,3 Oreo Shake + 3 Paneer Wrap (Without Onion + Garlic),Veg
fd349,Americano Black Coffee,Veg
fd350,Cappuccino Coffee,Veg
fd351,Hot Chocolate Coffee,Veg
fd352,Hazelnut Cappuccino Coffee,Veg
fd353,Cookie Cappuccino Coffee,Veg
fd355,Irish Cafe Latte Coffee,Veg
fd356,Caramel Latte Coffee,Veg
fd358,Assam Tea,Veg
fd359,Green Tea,Veg
fd360,Lemon Ice Tea,Veg
fd361,Peach Ice Tea,Veg
fd362,Strawberry Ice Tea,Veg
fd363,Classic Lemonade,Veg
fd364,Strawberry Lemonade,Veg
fd365,Mint Lemonade,Veg
fd367,TCD Special Shake,Veg
fd371,Vanilla Shake,Veg
fd372,Greenapple Shake,Veg
fd375,Paan Shake,Veg
fd376,Orange chocolate shake,Veg
fd378,Fruit Sundae,Veg
fd379,Paan Sundae,Veg
fd380,Devils Own Desi Style Coffee,Veg
fd381,Classic Cold Coffee,Veg
fd382,Iced Cappuccino Coffee,Veg
fd383,Iced Vanilla Cappuccino Coffee,Veg
fd384,Cafe Frappe,Veg
fd386,Caramel Frappe,Veg
fd387,Masala Fries with Dip,Veg
fd388,Mexican Tokari,Veg
fd389,Cheese Shots,Veg
fd390,Veg Fingers,Veg
fd391,Triple S,Non-veg
fd392,Chicken Finger(peri peri),Non-veg
fd393,Chicken Finger 5pc(Barbeque),Non-veg
fd395,Seekh Kabab with Dip,Non-veg
fd396,Chicken Nuggets,Non-veg
fd397,Chicken Popcorn,Non-veg
fd398,Chicken Finger (5 Pcs),Non-veg
fd399,Plain Garlic Bread,Veg
fd401,Chilly Corn Garlic Bread,Veg
fd402,Tandoori Cavity,Veg
fd404,Roasted Chicken Garlic Bread,Non-veg
fd405,Seekh Kabab Garlic Bread,Non-veg
fd406,Mint Mojito Mocktail,Veg
fd407,Cucumber Lemon Mojito Mocktail,Veg
fd408,Meloneez Mocktail,Veg
fd409,Candid Apple Mocktail,Veg
fd410,TCD Float (Coke with Ice Cream Float) Mocktail,Veg
fd411,Lemon Coke Mocktail,Veg
fd412,Malt (Taste of Beer) Mocktail,Veg
fd413,Blue Curacao,Veg
fd414,Spicy Mango,Veg
fd416,Seekh Kabab Wrap,Non-veg
fd417,Chicken Tikka Wrap,Non-veg
fd418,Tandoori Chicken Wrap,Non-veg
fd419,Single egg single chicken wrap,Non-veg
fd420,Aloo Wrap,Veg
fd422,Egg Wrap,Non-veg
fd423,Pasta Wrap,Veg
fd425,Veg Tikki Sub,Veg
fd426,Veg Delight Sub,Veg
fd427,Chicken Tikka Sub,Non-veg
fd428,Chicken Delight Sub,Non-veg
fd429,Saute Chicken Sub,Non-veg
fd430,2 Pieces Chicken Tikka Sandwich  +  Classic Lemonade,Non-veg
fd431,2 Pieces Paneer Tikka Sandwich + Cappuccino,Veg
fd432,1 Veg Burger with Cheese + Classic Cold Coffee,Veg
fd433,1 Chicken Burger with Cheese + Classic Cold Coffee,Non-veg
fd434,Mexican Veg Wrap + Lemon Coke,Veg
fd435,Chicken Wrap + Meloneez,Non-veg
fd439,8 ' Regular Special Wonder Pizza,Veg
fd440,10 ' Medium Special Wonder Pizza,Veg
fd441,13 ' Large Special Wonder Pizza,Veg
fd442,Punjabi Paneer Cruncher,Veg
fd443,Double Decker Veg Burger,Veg
fd445,Exotic Egg Burger,Non-veg
fd446,Spicy Chicken Burger,Non-veg
fd447,Double Decker Chicken Burger,Non-veg
fd448,American chicken burger,Non-veg
fd451,Spicy Veg Burger,Veg
fd453,8 ' Regular Tandoori Paneer Pizza,Veg
fd454,10 ' Medium Tandoori Paneer Pizza,Veg
fd455,13 ' Large Tandoori Paneer Pizza,Veg
fd456,8 ' Regular Hot & Sweet Delight Pizza,Veg
fd457,10 'Medium Hot & Sweet Delight Pizza,Veg
fd458,13 ' Large Hot & Sweet Delight Pizza,Veg
fd459,8 ' Regular Veg Feast Pizza,Veg
fd460,10 ' Medium Veg Feast Pizza,Veg
fd461,13 ' Large Veg Feast Pizza,Veg
fd462,8 ' Regular Spicy Corn Tango Pizza,Veg
fd463,13 ' Large Spicy Corn Tango Pizza,Veg
fd465,10 'Medium Spicy Paneer Pizza,Veg
fd467,Corn Delight Sandwich,Veg
fd468,Veg Cheese Sandwich,Veg
fd470,Paneer Makhani Sandwich,Veg
fd471,Mexican Sandwich,Veg
fd472,Veg Delight Sandwich,Veg
fd473,Chicken Tikka Sandwich,Non-veg
fd474,Egg Delight Sandwich,Non-veg
fd475,Chicken Delight Sandwich,Non-veg
fd476,Double Decker Ontario Sandwich,Non-veg
fd477,Schezwan Veg sandwich,Veg
fd478,Schezwan chicken sandwich,Non-veg
fd479,Cheesy Marghrita (Medium),Veg
fd480,Cheesy Margheritta Pizza (Large),Veg
fd481,Cheesy  Margherita (Regular),Veg
fd483,10 ' Medium Paneer Makhani Pizza,Veg
fd486,Red Penne Mushroom Pasta,Veg
fd487,Red Exotic Veggie Pasta,Veg
fd488,Red Penne Chicken Pasta,Non-veg
fd490,White Penne Mushroom Pasta,Veg
fd491,White Exotic Veggie Pasta,Veg
fd492,White Penne Chicken Pasta,Non-veg
fd494,Mix Sauce Penne Mushroom Pasta,Veg
fd495,Mix Sauce Exotic Veggie Pasta,Veg
fd496,Mix Sauce Penne Chicken Pasta,Non-veg
fd497,American crunchy veg pasta,Veg
fd498,American Crunchy chicken pasta,Non-veg
fd499,8 ' Regular Spicy Chicken Pizza,Non-veg
fd500,10 ' Medium Spicy Chicken Pizza,Non-veg
fd501,13 ' Large Spicy Chicken Pizza,Non-veg
fd502,8 ' Regular Chicken Love Pizza,Non-veg
fd503,10 ' Medium Chicken Love Pizza,Non-veg
fd504,13 ' Large Chicken Love Pizza,Non-veg
fd505,8 ' Regular Loaded Chicken Pizza,Non-veg
fd507,13 ' Large Loaded Chicken Pizza,Non-veg
fd508,8 ' Regular Hawaiian Delight Pizza,Non-veg
fd509,10 ' Medium Hawaiian Delight Pizza,Non-veg
fd510,13 ' Large Hawaiian Delight Pizza,Non-veg
fd511,8 ' Regular Golden Delight Pizza,Non-veg
fd512,10 ' Medium Golden Delight Pizza,Non-veg
fd513,13 ' Large Golden Delight Pizza,Non-veg
fd515,Veg Tikki Salad,Veg
fd516,Veg Delight Salad,Veg
fd517,Chicken Tikka Salad,Non-veg
fd519,Saute Chicken Salad,Non-veg
fd520,Egg Salad,Non-veg
fd521,Nacho Salad,Veg
fd522,Crispy veg saled,Veg
fd524,10 ' Medium Chicken Tikka Pizza,Non-veg
fd525,13 ' Large Chicken Tikka Pizza,Non-veg
fd526,8 ' Regular Tandoori Chicken Pizza,Non-veg
fd527,10 ' Medium Tandoori Chicken Pizza,Non-veg
fd529,1 Aloo Tikki Burger + 1 Single Topping Onion Pizza,Veg
fd530,1 Aloo Tikki Burger + 1 Single Topping Corn Pizza,Veg
fd531,Malai Chaap,Veg
fd532,Afghani Chaap,Veg
fd533,Tandoori Chaap,Veg
fd534,Pudina Chaap,Veg
fd535,Achari Chaap,Veg
fd536,Chaap Tikka Gravy,Veg
fd537,Keema Chaap Gravy,Veg
fd538,Paneer Tikka Butter Masala,Veg
fd539,Rumali Roti,Veg
fd540,Chilli Chaap,Veg
fd541,Chilli Mushroom,Veg
fd543,Manchurian Gravy,Veg
fd544,Chilli Potato,Veg
fd545,Honey Chilli Potato,Veg
fd546,French Fry,Veg
fd548,Momos (10 Pcs),Veg
fd549,Fried Momos (10 Pcs),Veg
fd550,Tandoori Momos (8 Pcs),Veg
fd551,Malai Paneer,Veg
fd552,Veg Chow mien,Veg
fd553,Cheese Chow mien,Veg
fd554,Singapore Chow mien,Veg
fd555,Chaap Roll,Veg
fd556,Combos,Veg
fd562,Irani Chaap,Veg
fd563,Fried Chaap,Veg
fd567,Kadai Paneer,Veg
fd568,Mushroom Tikka Masala,Veg
fd581,Masala Fried Momos (8 Pcs),Veg
fd582,Veg Manchow Soup,Veg
fd584,Afghani Paneer,Veg
fd585,Irani Paneer,Veg
fd586,Tandoori Paneer,Veg
fd587,Pudina Paneer,Veg
fd588,Achari Paneer,Veg
fd589,Golden Fried Paneer,Veg
fd590,Malai Mushroom,Veg
fd591,Afghani Mushroom,Veg
fd592,Irani Mushroom,Veg
fd593,Tandoori Mushroom,Veg
fd594,Pudina Mushroom,Veg
fd595,Achari Mushroom,Veg
fd596,Golden Fried Mushroom,Veg
fd598,Veg Hakka Chow mien,Veg
fd601,Mixed Veg Chow mien,Veg
fd602,Chaap Chow mien,Veg
fd605,Mushroom Roll,Veg
fd606,Mixed Roll,Veg
fd608,Junior,Veg
fd609,Texas,Veg
fd610,New Yorker,Veg
fd611,Paneer Crisp,Veg
fd612,Giga Bite,Veg
fd613,Mexican Paneer,Veg
fd614,Veg Mountain,Veg
fd615,Compact Burger,Non-veg
fd616,Bad Boy,Non-veg
fd617,Big Devil,Non-veg
fd618,Illegal Burger,Non-veg
fd619,Grilled Chicken Burger,Non-veg
fd620,Crispy Chicken Burger,Non-veg
fd621,The Heavy Driver,Non-veg
fd622,Chicken Mountain,Non-veg
fd623,Veg Wrap,Veg
fd625,Mexican Tortilla,Veg
fd626,Peri Peri Paneer Wrap,Veg
fd627,Chicken Barbeque,Non-veg
fd628,Chicken Crust Wrap,Non-veg
fd629,Chicken Salami Wrap,Non-veg
fd630,Crispy Chicken Wrap,Non-veg
fd632,Chicken Southern Spice,Non-veg
fd633,Warm Up Sandwich,Veg
fd634,Cheesy Corn Sandwich,Veg
fd635,Mexican Wave Sandwich,Veg
fd637,Chicken Salami,Non-veg
fd638,Saucy Mexicano,Non-veg
fd639,Chicken Paradise,Non-veg
fd640,Fiery Chicken,Non-veg
fd641,Cheese & Onion,Veg
fd642,Cheese & Corn,Veg
fd643,Cheese & Paneer,Veg
fd644,Queen Margherita [Small],Veg
fd645,Veggie Garden [Small],Veg
fd646,Corn & Olive [Small],Veg
fd647,Farm Fresh [Small],Veg
fd648,Paneer Bingo [Small],Veg
fd649,Mexican Pizza [Small],Veg
fd650,Paneer Tikka [Small],Veg
fd651,Grills Special [Small],Veg
fd652,Queen Margherita [Large],Veg
fd653,Corn & Olive [Large],Veg
fd654,Farm Fresh [Large],Veg
fd655,Paneer Bingo [Large],Veg
fd656,Mexican Pizza [Large],Veg
fd657,Paneer Tikka [Large],Veg
fd658,Garlic Exotica [Large],Veg
fd659,Grills Special [Large],Veg
fd660,Cheese & Capsicum,Veg
fd661,Veggie Garden [Large],Veg
fd662,The Lord of Cheese [Small],Veg
fd663,The Lord of Cheese [Large],Veg
fd664,Garlic Exotica [Small],Veg
fd666,Loaded Garlic Bread,Veg
fd667,Grilled Chicken Pizza [Small],Non-veg
fd668,Chicken Makhani Pizza [Small],Non-veg
fd669,Chicken Monster Pizza [Small],Non-veg
fd670,Grilled Chicken Pizza [Large],Non-veg
fd671,Chicken Kebab Pizza [Large],Non-veg
fd672,Chicken Makhani Pizza [Large],Non-veg
fd673,Peri Peri Chicken Pizza [Large],Non-veg
fd674,Chicken Monster Pizza [Large],Non-veg
fd675,Chicken Kebab Pizza [Small],Non-veg
fd676,Peri Peri Chicken Pizza [Small],Non-veg
fd677,Veg White Sauce Pasta,Veg
fd678,Veg Red Sauce Pasta,Veg
fd679,Veg Mix Sauce Pasta,Veg
fd680,Tandoori Pasta,Veg
fd681,Chicken White Sauce Pasta,Non-veg
fd682,Chicken Red Sauce Pasta,Non-veg
fd683,Chicken Mix Sauce Pasta,Non-veg
fd684,Chicken Tandoori Pasta,Non-veg
fd686,Naughty Strawberry,Veg
fd689,Black Currant Shake,Veg
fd691,Caramel Coffee,Veg
fd692,Classic Oreo,Veg
fd693,Chocolate Oreo,Veg
fd694,Veryberry Oreo,Veg
fd696,Virgin Mojito,Veg
fd697,Peach Mojito,Veg
fd698,Blueberry Mojito,Veg
fd699,Watermelon Mojito,Veg
fd700,Green Apple Mojito,Veg
fd702,Chicken Leg [2 Pcs],Non-veg
fd703,Chicken Wings [6 Pcs],Non-veg
fd704,Chicken Strips [3 Pcs],Non-veg
fd705,Peri Peri Chicken Popcorn,Non-veg
fd706,Butter Chicken Popcorn,Non-veg
fd707,Veg Crunch,Veg
fd708,Paneer Crunch,Veg
fd709,Chicken Salad,Non-veg
fd710,Chicken Protein Diet,Non-veg
fd711,Fiery Chicken Salad,Non-veg
fd712,Chicken Salami Salad,Non-veg
fd715,Cheese Loaded Fries,Veg
fd716,Peri Peri Potato Pops,Veg
fd718,Peri Peri Veggie Fingers,Veg
fd719,Peri Peri Cheese Loaded,Veg
fd720,Cheese Slice,Veg
fd721,Salami,Non-veg
fd722,Cheesy Dip,Veg
fd723,Tandoori Dip,Veg
fd724,Chilli Garlic Dip,Veg
fd725,Island Dip,Veg
fd726,Burger with Pizza Dip,Veg
fd727,Mexican Cheese Burger,Veg
fd728,Paneer Burger,Veg
fd730,Mixed Veg Sandwich,Veg
fd731,Jumbo Sandwich,Veg
fd732,Paneer Sandwich,Veg
fd733,8'' Corn Pizza,Veg
fd734,8'' Tomato Pizza,Veg
fd735,8'' Onion Pizza,Veg
fd736,8'' Capsicum Pizza,Veg
fd737,8'' Mix Veg Cheese Pizza,Veg
fd738,8'' Yummy Paneer Treat Pizza,Veg
fd739,8'' Veggie Loaded Pizza,Veg
fd740,8'' Sweet Corn Cheese Pizza,Veg
fd741,8'' Spicy Veggie Delight Pizza,Veg
fd742,Mixed Veg Sandwizza,Veg
fd744,Sweet Corn Sandwizza,Veg
fd752,Chilli Shot Burger,Veg
fd753,Mayo Burger,Veg
fd754,Green Valley Burger,Veg
fd759,Sweet Corn Sandwich,Veg
fd760,Mexican Cheese Sandwich,Veg
fd761,Herb Sandwich,Veg
fd762,Pasta Sandwich,Veg
fd766,8'' Plain Cheese Pizza,Veg
fd773,8'' Exotic Mushroom Pizza,Veg
fd774,8'' Potato Stick Pizza,Veg
fd775,Butter Lemon Sweet Corn,Veg
fd776,Pudina Sweet Corn,Veg
fd777,Black Pepper Sweet Corn,Veg
fd778,Spice Magic Sweet Corn,Veg
fd779,Red Chilli Sweet Corn,Veg
fd784,Sweet Corn Garlic Bread,Veg
fd785,Mushroom Garlic Bread,Veg
fd791,Masala Spiral Pasta In Bowl,Veg
fd792,Masala Spiral Pasta In Cup,Veg
fd793,Chana Masala,Veg
fd794,Mix Vegetable,Veg
fd795,Dal Makhani,Veg
fd796,Aloo Gobi,Veg
fd797,Dal Fry,Veg
fd798,Yellow Dal Tadka,Veg
fd799,Kadhi Pakora,Veg
fd800,Mushroom Do Pyaza,Veg
fd801,Veg Gravy,Veg
fd803,Punjabi Paneer,Veg
fd804,Cheese Tikka Butter Masala,Veg
fd805,Cheese Butter Masala,Veg
fd806,Cheese Tomato,Veg
fd807,Malai Kofta,Veg
fd808,Shahi Paneer,Veg
fd809,Paneer Bhurji,Veg
fd810,Palak Paneer,Veg
fd811,Sarso Ka Saag Makhani,Veg
fd812,Dum Aloo,Veg
fd813,Mattar Paneer,Veg
